Title,Author,URL,Body
Modernization of Beneficial Ownership Reporting,N/A,https://sec.gov/rules/2022/02/modernization-beneficial-ownership-reporting#33-11030,"The Securities and Exchange Commission (“Commission”) is adopting amendments to certain rules that govern beneficial ownership reporting. The amendments generally shorten the filing deadlines for initial and amended beneficial ownership reports filed on Schedules 13D and 13G. The amendments also clarify the disclosure requirements of Schedule 13D with respect to derivative securities. We also are expanding the timeframe within a given business day by which Schedules 13D and 13G must be filed, and separately requiring that Schedule 13D and 13G filings be made using a structured, machine-readable data language. Further, we discuss how, under the current rules, an investor’s use of a cash-settled derivative security may result in the person being treated as a beneficial owner of the class of the reference equity security. We also are providing guidance on the application of the current legal standard found in Section 13(d)(3) and 13(g)(3) of the Securities Exchange Act of 1934 to certain common types of shareholder engagement activities. Finally, we are making certain technical revisions."
Registration for Index-Linked Annuities; Amendments to Form N-4 for Index-Linked and Variable Annuities,N/A,https://sec.gov/rules/2023/09/rila#33-11250,"The Commission is proposing to amend the offering process and to create tailored disclosure requirements for registered index-linked annuities (""RILAs""). A RILA is a type of annuity contract that provides investors a return based on the performance of a market index. The proposed amendments would make the RILA offering process similar to other insurance investment products, enhance the information insurance companies disclose about RILAs, and would extend certain antifraud guidance to RILA advertisements. In connection with this rulemaking, the Commission engaged in investor testing to inform this proposal."
The Commission's Privacy Act Regulations,N/A,https://sec.gov/rules/2023/02/commissions-privacy-act-regulations#34-98437,"The Securities and Exchange Commission (“Commission” or “SEC”) is adopting amendments to the Commission’s regulations under the Privacy Act of 1974, as amended (“Privacy Act”). The amendments revise the Commission’s regulations under the Privacy Act to clarify, update, and streamline the language of several procedural provisions."
The Commission's Privacy Act Regulations,N/A,https://sec.gov/rules/2023/02/commissions-privacy-act-regulations#34-96906,"The Securities and Exchange Commission (“Commission” or “SEC”) is adopting amendments to the Commission’s regulations under the Privacy Act of 1974, as amended (“Privacy Act”). The amendments revise the Commission’s regulations under the Privacy Act to clarify, update, and streamline the language of several procedural provisions."
Investment Company Names,N/A,https://sec.gov/rules/2022/05/investment-company-names#33-11238,"The Securities and Exchange Commission (“Commission”) is amending the rule under the Investment Company Act of 1940 (“Investment Company Act” or “Act”) that addresses certain broad categories of investment company names that are likely to mislead investors about an investment company’s investments and risks. The amendments to this rule are designed to increase investor protection by improving, and broadening the scope of, the requirement for certain funds to adopt a policy to invest at least 80 percent of the value of their assets in accordance with the investment focus that the fund’s name suggests, updating the rule’s notice requirements, and establishing recordkeeping requirements. The Commission is also adopting enhanced prospectus disclosure requirements for terminology used in fund names, and additional requirements for funds to report information on Form N-PORT regarding compliance with the names-related regulatory requirements."
Investment Company Names,N/A,https://sec.gov/rules/2022/05/investment-company-names#33-11067,"The Securities and Exchange Commission (“Commission”) is amending the rule under the Investment Company Act of 1940 (“Investment Company Act” or “Act”) that addresses certain broad categories of investment company names that are likely to mislead investors about an investment company’s investments and risks. The amendments to this rule are designed to increase investor protection by improving, and broadening the scope of, the requirement for certain funds to adopt a policy to invest at least 80 percent of the value of their assets in accordance with the investment focus that the fund’s name suggests, updating the rule’s notice requirements, and establishing recordkeeping requirements. The Commission is also adopting enhanced prospectus disclosure requirements for terminology used in fund names, and additional requirements for funds to report information on Form N-PORT regarding compliance with the names-related regulatory requirements."
Adoption of Updated EDGAR Filer Manual,N/A,https://sec.gov/rules/2023/09/33-11235#33-11235,"The Securities and Exchange Commission (“Commission”) is adopting amendments to Volume II of the Electronic Data Gathering, Analysis, and Retrieval system Filer Manual (“EDGAR Filer Manual” or “Filer Manual”) and related rules and forms. EDGAR Release 23.3 will be deployed in the EDGAR system on September 18, 2023."
EDGAR Filer Access and Account Management,N/A,https://sec.gov/rules/2023/09/edgar-next#33-11232,"The Securities and Exchange Commission (“Commission”) is proposing rule and form amendments concerning access to and management of accounts on the Commission’s Electronic Data Gathering, Analysis, and Retrieval system (“EDGAR”) that are related to potential technical changes to EDGAR (collectively referred to as “EDGAR Next”). We propose to require that electronic filers (“filers”) authorize and maintain designated individuals as account administrators and that filers, through their account administrators, take certain actions to manage their accounts on a dashboard on EDGAR. Further, we propose that filers may only authorize individuals as account administrators or in the other roles described herein if those individuals first obtain individual account credentials in the manner to be specified in the EDGAR Filer Manual. As part of the EDGAR Next changes, the Commission would offer filers optional Application Programming Interfaces (“APIs”) for machine-to-machine communication with EDGAR, including submission of filings and retrieval of related information. If the proposed rule and form amendments are adopted, the Commission would make corresponding changes to the EDGAR Filer Manual and implement the potential technical changes."
Safeguarding Advisory Client Assets,N/A,https://sec.gov/rules/2023/02/safeguarding-advisory-client-assets#IA-6384,"The Securities and Exchange Commission (“Commission”) is reopening the comment period for its proposal, Safeguarding Advisory Client Assets, Release No. IA-6240 (Feb. 15, 2023) (“Proposal”), which proposed a new rule under the Investment Advisers Act of 1940 (“Advisers Act” or “Act”) that would redesignate and amend the current custody rule. In light of the adoption of the private fund adviser audit rule, which generally requires a registered investment adviser to obtain an annual financial statement audit of each private fund it advises in accordance with the audit provision of the current custody rule, reopening the comment period will allow interested persons additional time to assess the proposed amendments to the current custody rule’s audit provision in light of the private fund adviser audit rule."
Safeguarding Advisory Client Assets,N/A,https://sec.gov/rules/2023/02/safeguarding-advisory-client-assets#IA-6240,"The Securities and Exchange Commission (“Commission”) is reopening the comment period for its proposal, Safeguarding Advisory Client Assets, Release No. IA-6240 (Feb. 15, 2023) (“Proposal”), which proposed a new rule under the Investment Advisers Act of 1940 (“Advisers Act” or “Act”) that would redesignate and amend the current custody rule. In light of the adoption of the private fund adviser audit rule, which generally requires a registered investment adviser to obtain an annual financial statement audit of each private fund it advises in accordance with the audit provision of the current custody rule, reopening the comment period will allow interested persons additional time to assess the proposed amendments to the current custody rule’s audit provision in light of the private fund adviser audit rule."
Private Fund Advisers; Documentation of Registered Investment Adviser Compliance Reviews,N/A,https://sec.gov/rules/2022/05/private-fund-advisers-documentation-registered-investment-adviser-compliance-reviews#IA-6383,"The Securities and Exchange Commission (“Commission” or “SEC”) is adopting new rules under the Investment Advisers Act of 1940 (“Advisers Act” or “Act”). The rules are designed to protect investors who directly or indirectly invest in private funds by increasing visibility into certain practices involving compensation schemes, sales practices, and conflicts of interest through disclosure; establishing requirements to address such practices that have the potential to lead to investor harm; and restricting practices that are contrary to the public interest and the protection of investors. These rules are likewise designed to prevent fraud, deception, or manipulation by the investment advisers to those funds. Specifically, the new rules require registered investment advisers to private funds to provide transparency to their investors regarding the fees and expenses and other terms of their relationship with private fund advisers and the performance of such private funds. The new rules also require a registered private fund adviser to obtain an annual financial statement audit of each private fund it advises and, in connection with an adviser-led secondary transaction, a fairness opinion or valuation opinion from an independent opinion provider. In addition, the new rules restrict all private fund advisers, including those that are not registered with the Commission, from engaging in certain activities unless they provide specified disclosure to and, for certain restricted activities, obtain consent from investors. All private fund advisers are also prohibited from providing certain types of preferential treatment that would have a material, negative effect on other investors, subject to certain exceptions; and other types of preferential treatment to any investor in a private fund, unless the adviser satisfies certain disclosure obligations. The Commission is adopting corresponding amendments to the Advisers Act books and records rule to facilitate compliance with these new rules and assist our examination staff. Finally, the Commission is adopting amendments to the Advisers Act compliance rule, which affect all registered investment advisers, to better enable our staff to conduct examinations."
Private Fund Advisers; Documentation of Registered Investment Adviser Compliance Reviews,N/A,https://sec.gov/rules/2022/05/private-fund-advisers-documentation-registered-investment-adviser-compliance-reviews#34-94868,"The Securities and Exchange Commission (“Commission” or “SEC”) is adopting new rules under the Investment Advisers Act of 1940 (“Advisers Act” or “Act”). The rules are designed to protect investors who directly or indirectly invest in private funds by increasing visibility into certain practices involving compensation schemes, sales practices, and conflicts of interest through disclosure; establishing requirements to address such practices that have the potential to lead to investor harm; and restricting practices that are contrary to the public interest and the protection of investors. These rules are likewise designed to prevent fraud, deception, or manipulation by the investment advisers to those funds. Specifically, the new rules require registered investment advisers to private funds to provide transparency to their investors regarding the fees and expenses and other terms of their relationship with private fund advisers and the performance of such private funds. The new rules also require a registered private fund adviser to obtain an annual financial statement audit of each private fund it advises and, in connection with an adviser-led secondary transaction, a fairness opinion or valuation opinion from an independent opinion provider. In addition, the new rules restrict all private fund advisers, including those that are not registered with the Commission, from engaging in certain activities unless they provide specified disclosure to and, for certain restricted activities, obtain consent from investors. All private fund advisers are also prohibited from providing certain types of preferential treatment that would have a material, negative effect on other investors, subject to certain exceptions; and other types of preferential treatment to any investor in a private fund, unless the adviser satisfies certain disclosure obligations. The Commission is adopting corresponding amendments to the Advisers Act books and records rule to facilitate compliance with these new rules and assist our examination staff. Finally, the Commission is adopting amendments to the Advisers Act compliance rule, which affect all registered investment advisers, to better enable our staff to conduct examinations."
Private Fund Advisers; Documentation of Registered Investment Adviser Compliance Reviews,N/A,https://sec.gov/rules/2022/05/private-fund-advisers-documentation-registered-investment-adviser-compliance-reviews#IA-5955,"The Securities and Exchange Commission (“Commission” or “SEC”) is adopting new rules under the Investment Advisers Act of 1940 (“Advisers Act” or “Act”). The rules are designed to protect investors who directly or indirectly invest in private funds by increasing visibility into certain practices involving compensation schemes, sales practices, and conflicts of interest through disclosure; establishing requirements to address such practices that have the potential to lead to investor harm; and restricting practices that are contrary to the public interest and the protection of investors. These rules are likewise designed to prevent fraud, deception, or manipulation by the investment advisers to those funds. Specifically, the new rules require registered investment advisers to private funds to provide transparency to their investors regarding the fees and expenses and other terms of their relationship with private fund advisers and the performance of such private funds. The new rules also require a registered private fund adviser to obtain an annual financial statement audit of each private fund it advises and, in connection with an adviser-led secondary transaction, a fairness opinion or valuation opinion from an independent opinion provider. In addition, the new rules restrict all private fund advisers, including those that are not registered with the Commission, from engaging in certain activities unless they provide specified disclosure to and, for certain restricted activities, obtain consent from investors. All private fund advisers are also prohibited from providing certain types of preferential treatment that would have a material, negative effect on other investors, subject to certain exceptions; and other types of preferential treatment to any investor in a private fund, unless the adviser satisfies certain disclosure obligations. The Commission is adopting corresponding amendments to the Advisers Act books and records rule to facilitate compliance with these new rules and assist our examination staff. Finally, the Commission is adopting amendments to the Advisers Act compliance rule, which affect all registered investment advisers, to better enable our staff to conduct examinations."
Exemption for Certain Exchange Members,N/A,https://sec.gov/rules/2015/03/exemption-certain-exchange-members#34-98202,"The Securities and Exchange Commission (“Commission”) is adopting amendments to a rule under the Securities Exchange Act of 1934 (“Act” or “Exchange Act”) that exempts certain Commission-registered brokers or dealers from membership in a registered national securities association (“Association”).  The amendments replace rule provisions that provide an exemption for proprietary trading with narrower exemptions from Association membership for any registered broker or dealer that is a member of a national securities exchange, carries no customer accounts, and effects transactions in securities otherwise than on a national securities exchange of which it is a member.  The amendments create exemptions for such a registered broker or dealer that effects securities transactions otherwise than on an exchange of which it is a member that result solely from orders that are routed by a national securities exchange of which it is a member to comply with order protection regulatory requirements, or are solely for the purpose of executing the stock leg of a stock-option order. "
Exemption for Certain Exchange Members,N/A,https://sec.gov/rules/2015/03/exemption-certain-exchange-members#34-95388,"The Securities and Exchange Commission (“Commission”) is adopting amendments to a rule under the Securities Exchange Act of 1934 (“Act” or “Exchange Act”) that exempts certain Commission-registered brokers or dealers from membership in a registered national securities association (“Association”).  The amendments replace rule provisions that provide an exemption for proprietary trading with narrower exemptions from Association membership for any registered broker or dealer that is a member of a national securities exchange, carries no customer accounts, and effects transactions in securities otherwise than on a national securities exchange of which it is a member.  The amendments create exemptions for such a registered broker or dealer that effects securities transactions otherwise than on an exchange of which it is a member that result solely from orders that are routed by a national securities exchange of which it is a member to comply with order protection regulatory requirements, or are solely for the purpose of executing the stock leg of a stock-option order. "
Exemption for Certain Exchange Members,N/A,https://sec.gov/rules/2015/03/exemption-certain-exchange-members#34-74581,"The Securities and Exchange Commission (“Commission”) is adopting amendments to a rule under the Securities Exchange Act of 1934 (“Act” or “Exchange Act”) that exempts certain Commission-registered brokers or dealers from membership in a registered national securities association (“Association”).  The amendments replace rule provisions that provide an exemption for proprietary trading with narrower exemptions from Association membership for any registered broker or dealer that is a member of a national securities exchange, carries no customer accounts, and effects transactions in securities otherwise than on a national securities exchange of which it is a member.  The amendments create exemptions for such a registered broker or dealer that effects securities transactions otherwise than on an exchange of which it is a member that result solely from orders that are routed by a national securities exchange of which it is a member to comply with order protection regulatory requirements, or are solely for the purpose of executing the stock leg of a stock-option order. "
Exemption for Certain Investment Advisers Operating Through the Internet,N/A,https://sec.gov/rules/2023/07/s7-13-23#IA-6354,"The Securities and Exchange Commission (“SEC” or “Commission”) is proposing amendments to the rule under the Investment Advisers Act of 1940 that exempts certain investment advisers that provide advisory services through the internet (“internet investment advisers”) from the prohibition on Commission registration, as well as related amendments to Form ADV. The proposed amendments are designed to modernize the rule’s conditions to account for the evolution in technology and the investment advisory industry since the adoption of the rule."
Conflicts of Interest Associated with the Use of Predictive Data Analytics by Broker-Dealers and Investment Advisers,N/A,https://sec.gov/rules/2023/07/s7-12-23#34-97990,"The Securities and Exchange Commission (“Commission” or “SEC”) is proposing new rules (“proposed conflicts rules”) under the Securities Exchange Act of 1934 (“Exchange Act”) and the Investment Advisers Act of 1940 (“Advisers Act”) to eliminate, or neutralize the effect of, certain conflicts of interest associated with broker-dealers’ or investment advisers’ interactions with investors through these firms’ use of technologies that optimize for, predict, guide, forecast, or direct investment-related behaviors or outcomes. The Commission is also proposing amendments to rules under the Exchange Act and Advisers Act that would require firms to make and maintain certain records in accordance with the proposed conflicts rules."
"Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure",N/A,https://sec.gov/rules/2022/03/cybersecurity-risk-management-strategy-governance-and-incident-disclosure#33-11216,"The Securities and Exchange Commission (“Commission”) is adopting new rules to enhance and standardize disclosures regarding cybersecurity risk management, strategy, governance, and incidents by public companies that are subject to the reporting requirements of the Securities Exchange Act of 1934. Specifically, we are adopting amendments to require current disclosure about material cybersecurity incidents. We are also adopting rules requiring periodic disclosures about a registrant’s processes to assess, identify, and manage material cybersecurity risks, management’s role in assessing and managing material cybersecurity risks, and the board of directors’ oversight of cybersecurity risks. Lastly, the final rules require the cybersecurity disclosures to be presented in Inline eXtensible Business Reporting Language (“Inline XBRL”)."
"Cybersecurity Risk Management, Strategy, Governance, and Incident Disclosure",N/A,https://sec.gov/rules/2022/03/cybersecurity-risk-management-strategy-governance-and-incident-disclosure#33-11038,"The Securities and Exchange Commission (“Commission”) is adopting new rules to enhance and standardize disclosures regarding cybersecurity risk management, strategy, governance, and incidents by public companies that are subject to the reporting requirements of the Securities Exchange Act of 1934. Specifically, we are adopting amendments to require current disclosure about material cybersecurity incidents. We are also adopting rules requiring periodic disclosures about a registrant’s processes to assess, identify, and manage material cybersecurity risks, management’s role in assessing and managing material cybersecurity risks, and the board of directors’ oversight of cybersecurity risks. Lastly, the final rules require the cybersecurity disclosures to be presented in Inline eXtensible Business Reporting Language (“Inline XBRL”)."
Daily Computation of Customer and Broker-Dealer Reserve Requirements under the Broker-Dealer Customer Protection Rule,N/A,https://sec.gov/rules/2023/07/s7-11-23#34-97877,The Securities and Exchange Commission (“Commission”) proposes to amend the broker-dealer customer protection rule to require certain broker-dealers to perform their customer and broker-dealer reserve computations and make any required deposits into their reserve bank accounts daily rather than weekly. The Commission also is seeking comment on whether similar daily reserve computation requirements should apply to broker-dealers and security-based swap dealers with respect to their security-based swap customers.
Money Market Fund Reforms,N/A,https://sec.gov/rules/2021/12/money-market-fund-reforms#33-11211,"The Securities and Exchange Commission (“Commission”) is adopting amendments to certain rules that govern money market funds under the Investment Company Act of 1940. These amendments are designed to improve the resilience and transparency of money market funds. The amendments will revise the primary rule that governs money market funds to remove the ability for a fund board to temporarily suspend redemptions if the fund’s liquidity falls below a threshold. In addition, the amendments will remove the tie between liquidity thresholds and the potential imposition of liquidity fees. The amendments will also require certain money market funds to implement a liquidity fee framework that will better allocate the costs of providing liquidity to redeeming investors. In addition, the Commission is increasing the daily liquid asset and weekly liquid asset minimum requirements to 25% and 50%, respectively. The Commission also is amending certain reporting requirements on Form N-MFP and Form N-CR and making certain conforming changes to Form N-1A to reflect amendments to the regulatory framework for money market funds. In addition, the Commission is addressing how money market funds with stable net asset values may handle a negative interest rate environment, including by adopting amendments that will permit these funds to use share cancellation, subject to certain conditions. Further, the Commission is adopting rule amendments to specify how funds must calculate weighted average maturity and weighted average life. In addition, the Commission is adopting amendments to Form PF concerning the information large liquidity fund advisers must report for the liquidity funds they advise. Finally, the Commission is adopting two technical amendments to Form N-CSR and Form N-1A to correct errors from recent Commission rulemakings."
Money Market Fund Reforms,N/A,https://sec.gov/rules/2021/12/money-market-fund-reforms#IC-34441,"The Securities and Exchange Commission (“Commission”) is adopting amendments to certain rules that govern money market funds under the Investment Company Act of 1940. These amendments are designed to improve the resilience and transparency of money market funds. The amendments will revise the primary rule that governs money market funds to remove the ability for a fund board to temporarily suspend redemptions if the fund’s liquidity falls below a threshold. In addition, the amendments will remove the tie between liquidity thresholds and the potential imposition of liquidity fees. The amendments will also require certain money market funds to implement a liquidity fee framework that will better allocate the costs of providing liquidity to redeeming investors. In addition, the Commission is increasing the daily liquid asset and weekly liquid asset minimum requirements to 25% and 50%, respectively. The Commission also is amending certain reporting requirements on Form N-MFP and Form N-CR and making certain conforming changes to Form N-1A to reflect amendments to the regulatory framework for money market funds. In addition, the Commission is addressing how money market funds with stable net asset values may handle a negative interest rate environment, including by adopting amendments that will permit these funds to use share cancellation, subject to certain conditions. Further, the Commission is adopting rule amendments to specify how funds must calculate weighted average maturity and weighted average life. In addition, the Commission is adopting amendments to Form PF concerning the information large liquidity fund advisers must report for the liquidity funds they advise. Finally, the Commission is adopting two technical amendments to Form N-CSR and Form N-1A to correct errors from recent Commission rulemakings."
Position Reporting of Large Security-Based Swap Positions,N/A,https://sec.gov/rules/2021/12/position-reporting-large-security-based-swap-positions#34-97762,"The Securities and Exchange Commission (“SEC” or “Commission”) is reopening the comment period for its proposal, Position Reporting of Large Security-Based Swap Positions, Release No. 34-93784, (Dec. 15, 2021) (“Proposing Release”). In the Proposing Release, the Commission proposed for comment a new rule, which would require any person with a securitybased swap position that exceeds a certain threshold to promptly file with the Commission a schedule disclosing certain information related to its security-based swap position (“Proposed Rule”). The Commission is reopening the comment period to allow interested persons an opportunity to comment on the additional analysis and data contained in a staff memorandum that was added to the public comment file on June 20, 2023, including providing comment on questions identified below."
"Prohibition Against Fraud, Manipulation, and Deception in Connection With Security-Based Swaps; Prohibition against Undue Influence over Chief Compliance Officers",N/A,https://sec.gov/rules/2021/12/prohibition-against-fraud-manipulation-and-deception-connection-security-based-swaps#34-93784,"The Securities and Exchange Commission (“SEC” or “Commission”) is adopting a final rule, under the Securities Exchange Act of 1934 (“Exchange Act”), that is designed to prevent fraud, manipulation, and deception in connection with effecting any transaction in, or attempting to effect any transaction in, or purchasing or selling, or inducing or attempting to induce the purchase or sale of, any security-based swap. The rule takes into account the features fundamental to a security-based swap and the broad definitions of purchase and sale under the Exchange Act as they relate to security-based swaps. In addition, the Commission is adopting a final rule, under the Exchange Act, that makes it unlawful for any officer, director, supervised person, or employee of a security-based swap dealer (“SBSD”) or major security-based swap participant (“MSBSP”) (each SBSD and each MSBSP also referred to as an “SBS Entity” and together referred to as “SBS Entities”), or any person acting under such person’s direction, to directly or indirectly take any action to coerce, manipulate, mislead, or fraudulently influence the SBS Entity’s chief compliance officer (“CCO”) in the performance of their duties under the Federal securities laws or the rules and regulations thereunder."
"Security-Based Swap Data Repository Registration, Duties, and Core Principles",N/A,https://sec.gov/rules/2015/02/security-based-swap-data-repository-registration-duties-and-core-principles#34-69491,"Pursuant to Section 763(i) of Title VII (""Title VII') of the Dodd-Frank Wall Street Reform and Consumer Protection Act of 2010 (""Dodd-Frank Act'), the Securities and Exchange Commission (""Commission') is adopting new rules under the Securities Exchange Act of 1934 (""Exchange Act') governing the security-based swap data repository (""SDR') registration process, duties, and core principles. The Commission is also adopting a new registration form. Additionally, the Commission is amending several of its existing rules and regulations in order to accommodate SDRs. First, the Commission is amending Regulation S-T and Exchange Act Rule 24b-2 to clarify that all filings by SDRs, including any confidential portion, and their requests for confidential treatment must be filed electronically. Second, the Commission is amending Regulation S-T by, among other things, adding a new rule that specifically applies to the electronic filing of SDRs' financial reports."
