,title,url,summary,topic
11,Constellation: Season One — another “multiverse” story loses its way,https://medium.com/framerated/constellation-season-one-another-multiverse-story-loses-its-way-a74ffd7473e9?source=tag_recommended_feed---------1-107----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,An astronaut returns to earth after a disaster in space and discovers that there are missing pieces in her life…,Not Climate Action
12,The Challenge All Stars 4 Episodes 1 and 2 Super Recap: 15 Biggest Takeaways,https://medium.com/@theallanaguirre/the-challenge-all-stars-4-episodes-1-and-2-super-recap-15-biggest-takeaways-64cbda8ee5ba?source=tag_recommended_feed---------2-85----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,"The two-episode premiere of The Challenge All Stars 4 is in the books. You probably have some thoughts, so let’s compare. Instead of giving…",Not Climate Action
13,Review: Shogun Is Great TV — But It’s Not About Colonialism,https://medium.com/@unseenjapan/review-shogun-is-great-tv-but-its-not-about-colonialism-8ec03433a20e?source=tag_recommended_feed---------3-84----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,"The 2024 Shogun TV series stacks up pretty well to history, says a Japanese historian — but don’t get things twisted.",Not Climate Action
14,‘3 Body Problem’ Is an Elegant Reimagining of Deeply Ambitious Source Material,https://medium.com/fan-fare/3-body-problem-is-an-elegant-reimagining-of-deeply-ambitious-source-material-b8470cb81025?source=tag_recommended_feed---------4-107----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,David Benioff and D.B. Weiss broaden and refine Liu Cixin’s fantastical sci-fi in the first season of their grand new undertaking,Not Climate Action
15,The Challenge All Stars 4 Episode 1 Recap — Winners & Losers,https://medium.com/@brianrbatty/the-challenge-all-stars-4-episode-1-recap-winners-losers-1951c69f0327?source=tag_recommended_feed---------5-85----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,"Welcome back! After aging in the bottle for a year and a half, we’ve finally popped the cork on All Stars 4!!! And what an almost perfect…",Not Climate Action
16,Great News For NASA: New Netflix Show Saves The Agency Decades Of Research Time By Simply Making…,https://medium.com/the-haven/great-news-for-nasa-new-netflix-show-saves-the-agency-decades-of-research-time-by-simply-making-a76dd44bcaba?source=tag_recommended_feed---------6-84----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,"“We consider ourselves very lucky that Netflix made The 3 Body Problem,” said the head of NASA, Gordon Lightfeather. “It gave us the…",Not Climate Action
17,Ripley: A Cold Neo-Noir Without the Spark (TV Review),https://medium.com/plethora-of-pop/ripley-a-cold-neo-noir-without-the-spark-tv-review-7a9f9bac0ac7?source=tag_recommended_feed---------7-107----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,What goes around doesn’t come back around with Tom Ripley.,Not Climate Action
18,House of the Midnight Sun,https://medium.com/write-under-the-moon/house-of-the-midnight-sun-8a5b1b4c783a?source=tag_recommended_feed---------8-85----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,Inspired by The Twilight Zone,Not Climate Action
19,Ranked: Top 13 Laverne Cox Roles (According to IDMB),https://medium.com/translating-everything/ranked-top-13-laverne-cox-roles-according-to-idmb-707a5a065558?source=tag_recommended_feed---------9-84----------television----------bebea1c6_333e_4b65_b42f_12b687858c9c-------,Queer History reviews the top-rated career of a transgender icon,Not Climate Action
20,The Genesis of Cable Skinny Bundles,https://medium.com/@jaredschain/the-genesis-of-cable-mini-bundles-8e2f2a796016?source=tag_recommended_feed---------0-84----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,"WBD/Fox/Disney sports streaming service — A discussion around the history, incentives to create it, and whether fans should care",Not Climate Action
21,The Making of VES: the Cosmos Microservice for Netflix Video Encoding,https://medium.com/netflix-techblog/the-making-of-ves-the-cosmos-microservice-for-netflix-video-encoding-946b9b3cd300?source=tag_recommended_feed---------1-107----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,"Liwei Guo, Vinicius Carvalho, Anush Moorthy, Aditya Mavlankar, Lishan Zhu",Not Climate Action
22,Rebuilding Netflix Video Processing Pipeline with Microservices,https://medium.com/netflix-techblog/rebuilding-netflix-video-processing-pipeline-with-microservices-4e5e6310e359?source=tag_recommended_feed---------2-85----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,"This is the first blog in a multi-part series on how Netflix rebuilt its video processing pipeline with microservices, so we can maintain…",Not Climate Action
23,Setup your video streaming server for free in a few minutes,https://medium.com/@cyril.cauchois/setup-your-video-streaming-server-for-free-in-a-few-minutes-0f60bc0cf390?source=tag_recommended_feed---------3-84----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,"My colleague Fred and I are working on a side project for a basketball club. Our goal is to create a lightweight, easy-to-deploy solution…",Not Climate Action
24,Counting the Money: Is YouTube’s $2 Billion NFL Deal a Winning Play?,https://medium.com/the-press-box/counting-the-money-is-youtubes-2-billion-nfl-deal-a-winning-play-a5163dcf80fd?source=tag_recommended_feed---------4-107----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,My story of paying for Sunday Ticket,Not Climate Action
25,"Stream Smarter, Not Harder: A Guide to Using Stremio, Torrentio, and Real Debrid",https://medium.com/@divitia/stream-smarter-not-harder-a-guide-to-using-stremio-torrentio-and-real-debrid-9e7a3ecc0309?source=tag_recommended_feed---------5-85----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,"Hello everyone! Today, we are going to take a journey into the world of media streaming. With so many applications and services out there…",Not Climate Action
26,MIDNIGHT REVIEWS Fallout Episode Two,https://medium.com/@midnightreviews/midnight-reviews-fallout-episode-two-115afe731d4f?source=tag_recommended_feed---------6-84----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,"Midnight Reviews features reviews and thought pieces written and edited by a parent, at night, after bedtime.",Not Climate Action
27,"Actresses Primed to Definitely, Maybe Have a Monumental 2024",https://medium.com/fan-fare/actresses-primed-to-definitely-maybe-have-a-monumental-2024-02b64431d5ce?source=tag_recommended_feed---------7-107----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,"Plenty is on the 2024 film horizon, and these three actresses could have plenty to celebrate.",Not Climate Action
28,How to Get Around Netflix’s New Household Policy,https://medium.com/@dpericich/how-to-get-around-netflixs-new-household-policy-d2c41fa8ffd5?source=tag_recommended_feed---------8-85----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,"The new Netflix Household Policy limits the number of devices that can use a paid account. There are ways to get around this, but they…",Not Climate Action
29,Pirate Streams vs. Political Streams,https://medium.com/@miketobinuk/pirate-streams-vs-political-streams-c053ace43344?source=tag_recommended_feed---------9-84----------streaming----------3c59f074_7660_4f57_a0d8_538731d50942-------,"Alright mate, had this one in the vault for sometime. Slowly working through my drafts and thought I’d touch this one up a little. I know…",Not Climate Action
30,I Didn’t Like You Very Much When I Met You,https://medium.com/three-imaginary-girls/i-didnt-like-you-very-much-when-i-met-you-1629d24e3767?source=tag_recommended_feed---------0-84----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,Best. Concert. Ever.,Not Climate Action
31,What’s Unforgettable?,https://medium.com/three-imaginary-girls/whats-unforgettable-7ffb5bdad698?source=tag_recommended_feed---------1-107----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,Somehow I narrowed down decades of concerts to five.,Not Climate Action
32,A Night At the Opera,https://medium.com/@changethelausd/a-night-at-the-opera-8fdff6077d6e?source=tag_recommended_feed---------2-85----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,Adam Lambert joins the two remaining members of Queen at BMO Stadium in Los Angeles for a triumphant review of the band’s history.,Not Climate Action
33,Pat Metheny’s “Dream Box Tour” LIVE! at MPAC,https://medium.com/spotlight-central/pat-methenys-dream-box-tour-live-at-mpac-21f6ea5d7716?source=tag_recommended_feed---------3-84----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,By Spotlight Central. Photos by Love Imagery,Not Climate Action
34,"On Tour, Sid Sriram Gets Closer to God",https://medium.com/@paulcantor/on-tour-sid-sriram-gets-closer-to-god-da9bddadd29e?source=tag_recommended_feed---------4-107----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,Sid Sriram Electrifies Crowd at Brooklyn’s Music Hall of Williamsburg,Not Climate Action
35,What You Didn’t Know About Bluesman Albert King at Fillmore East,https://medium.com/the-riff/what-you-didnt-know-about-bluesman-albert-king-at-fillmore-east-7b083977325a?source=tag_recommended_feed---------5-85----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,‘Fillmore East: The Venue That Changed Rock Music’ Book Excerpt,Not Climate Action
36,My Concert Misadventure: Part 2,https://medium.com/musical-mayhem/my-concert-misadventure-part-2-4f57249d5570?source=tag_recommended_feed---------6-84----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,Drama and my friend’s obsession with Nicki Minaj!,Not Climate Action
37,A Road Trip to Remember: The Time I Drove R & B Rocker Bo Diddley to His Mississippi Gig,https://medium.com/the-riff/a-road-trip-to-remember-the-time-i-drove-r-b-rocker-bo-diddley-to-his-mississippi-gig-dfe0f9248287?source=tag_recommended_feed---------7-107----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,His wife stole his car and he needed to hitch a ride,Not Climate Action
38,"The Eras Tour, Ranked",https://medium.com/@bookmusiclyrics/the-eras-tour-ranked-acccf039ef21?source=tag_recommended_feed---------8-85----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,Taylor Swift’s Facemelting Extravaganza in 13 Lists,Not Climate Action
39,Best Concert Ever: U2 — Zoo TV,https://medium.com/three-imaginary-girls/best-concert-ever-u2-zoo-tv-9015473b1256?source=tag_recommended_feed---------9-84----------concerts----------b19c2ec1_9d81_422c_89d1_55b58f139997-------,"Growing up I was very lucky from a musical perspective, because I lived in London. Pretty much any major act who was doing a world tour was…",Not Climate Action
40,"Civil War — Movie is Not What You Think, But You Still Should See It",https://medium.com/@mrhake/civil-war-movie-is-not-what-you-think-but-you-still-should-see-it-41f5611a9019?source=tag_recommended_feed---------0-84----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,"I went to see the new movie, Civil War, with high interest but was not wowed",Not Climate Action
41,#OscarsMightNotBeSoWhite: The lack of Diversity at the Oscars may not be solely the Academy’s Fault,https://medium.com/@thereclaimed/oscarsmightnotbesowhite-the-lack-of-diversity-at-the-oscars-may-not-be-solely-the-academys-fault-7253daa944a3?source=tag_recommended_feed---------1-107----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,The Academy Awards began almost a century ago. The first Oscars ceremony occurred in 1929 and celebrated films made in 1927 and 1928. It…,Not Climate Action
42,Swift Actors — in depth,https://medium.com/@valentinjahanmanesh/swift-actors-in-depth-19c8b3dbd85a?source=tag_recommended_feed---------2-85----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,"Learn, don’t memorize.",Not Climate Action
43,"Here’s To You, Cliff Robertson",https://medium.com/picture-palace/heres-to-you-cliff-robertson-fdcf5db39bc0?source=tag_recommended_feed---------3-107----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,Cliff Robertson won the 1968 Best Actor Oscar for his role as a mentally disabled man in the film Charly. His triumph led to offers to star…,Not Climate Action
44,What Does an Actor’s Commission Pay For?,https://medium.com/@thezachgray/what-does-an-actors-commission-pay-for-ce25295cb96d?source=tag_recommended_feed---------4-85----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,"While procuring employment opportunities is part of an agent’s job, that is just scratching the surface of how agents support actors.",Not Climate Action
45,AI🌎 Players📢-69,https://medium.com/@MitziJaylee/ai-players-69-f15813ff1bd5?source=tag_recommended_feed---------5-84----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,No summary available,Not Climate Action
46,Michael J. Fox,https://medium.com/@zimberoff/michael-j-fox-255da9727760?source=tag_recommended_feed---------6-107----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,Shredding Air Guitars Plus An Unexpected Encounter,Not Climate Action
47,Nickelodeon Truths Are Discoloring My Childhood (But Are Also So Important),https://medium.com/@a-bussman/nickelodeon-truths-are-discoloring-my-childhood-but-are-also-so-important-9f2c58c0fd0d?source=tag_recommended_feed---------7-85----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,"In the event that you’ve been living in a box for the past couple of weeks, let’s rehash what’s going on in the world of media. Discovery+…",Not Climate Action
48,Async iniatilization of the SwiftUI app,https://medium.com/@tkachenko.slava/async-iniatilization-of-the-swiftui-app-62920f6d2ec9?source=tag_recommended_feed---------8-84----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,"Writing an app with SwiftUI is a lot of fun, but it can be a bit tricky at times. One such challenge is initializing your app with an async…",Not Climate Action
49,What We Talk About When We Talk About Linda Blair,https://medium.com/fan-fare/what-we-talk-about-when-we-talk-about-linda-blair-f7a96cf5d5d5?source=tag_recommended_feed---------9-107----------actors----------d319331c_b035_4fd7_813c_b59051a90bf0-------,"Did we crucify (sorry, couldn’t resist) a talented young actor for giving the performance of a lifetime?",Not Climate Action
50,The Brightest Star in the Flanaverse:,https://medium.com/@miadenson1/the-brightest-star-in-the-flanaverse-39a414336c15?source=tag_recommended_feed---------0-84----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,"An analysis and dive into one of horror’s newest and best directors, Mike Flanagan and his way of changing the genre as we know it.",Not Climate Action
51,"Bud Cardos, B-Movie Legend",https://medium.com/picture-palace/bud-cardos-b-movie-legend-6dc24c92b8f6?source=tag_recommended_feed---------1-107----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,"John “Bud” Cardos was a filmmaking renaissance man. Known for directing horror films, he worked as an actor, stunt man, teamster driver…",Not Climate Action
52,What’s on Jim’s Mind (Issue #182),https://medium.com/@Irondale_Ensemble_Project/whats-on-jim-s-mind-issue-182-e6b84ecd42dd?source=tag_recommended_feed---------2-84----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,One of my greatest challenges these days…,Not Climate Action
53,Are Directors the Sole Author of a Film?,https://medium.com/fan-fare/are-directors-the-sole-author-of-a-film-330716537c80?source=tag_recommended_feed---------3-107----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,"Cineastes often embrace auteur theory, but is it accurate?",Not Climate Action
54,A Deep Dive into the Directorial Style of Quentin Tarantino,https://medium.com/@markmurphydirector/a-deep-dive-into-the-directorial-style-of-quentin-tarantino-fd1448dc4de2?source=tag_recommended_feed---------4-85----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,Who is Quentin Tarantino and Why is He a Renowned Director?,Not Climate Action
55,Quick Thoughts on “Monkey Man” (2024),https://medium.com/@victordebonis/quick-thoughts-on-monkey-man-2024-f7eda1777d2c?source=tag_recommended_feed---------5-84----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,Written by Victor DeBonis,Not Climate Action
56,When Filmmaking Goes Bad,https://medium.com/picture-palace/when-filmmaking-goes-bad-b59f78e3352f?source=tag_recommended_feed---------6-107----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,"Billy Wilder once said, “There’s not much difference in making a good movie or a bad movie. You still have to wake at 5:00 am.” That’s how…",Not Climate Action
57,Denis Villeneuve’s Neuromancer,https://medium.com/@damiengwalter/denis-villeneuves-neuromancer-657241d7d8fe?source=tag_recommended_feed---------7-85----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,The William Gibson classic is less and less read as a book,Not Climate Action
58,The Evolution of AI in Business Development: The Future for Directors,https://medium.com/@completeaitraining/the-evolution-of-ai-in-business-development-the-future-for-directors-386462b93b0c?source=tag_recommended_feed---------8-84----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,Directors of Business Development are grappling with challenges that require innovative and efficient solutions. The emergence of…,Not Climate Action
59,My Guide to Becoming a Cinephile — Directors (Part 1),https://medium.com/fan-fare/my-guide-to-becoming-a-cinephile-directors-part-1-a53fa2119bae?source=tag_recommended_feed---------9-107----------directors----------7f61f1ad_e3b2_45a0_b8bf_37b8bb62b8a4-------,A small collection of great directors and their work for people looking to learn more about cinema history and don’t know where to start.,Not Climate Action
60,10 Websites Mastered Storytelling Experience With Exceptional Design Level,https://medium.com/orpetron/10-websites-mastered-storytelling-experience-with-exceptional-design-level-a185931bc1f9?source=tag_recommended_feed---------0-84----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,No summary available,Not Climate Action
61,"The 96th Academy Awards Was Brisk, Elegant, and Full of Deserving Winners",https://medium.com/rants-and-raves/the-96th-academy-awards-was-brisk-elegant-and-full-of-deserving-winners-42ad2dd024ff?source=tag_recommended_feed---------1-107----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,"Tonight, the 96th Academy Awards ceremony aired live on ABC and Disney+ from the Dolby Theater in Los Angeles. Christopher Nolan’s…",Not Climate Action
62,10 Websites With Exceptional Button Design That Will Definitely Inspire You,https://medium.com/orpetron/10-websites-with-exceptional-button-design-that-will-definitely-inspire-you-349cfcde787e?source=tag_recommended_feed---------2-85----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,No summary available,Not Climate Action
63,Top Sites Of The Week That Will Definitely Inspire You — Dose #2415,https://medium.com/orpetron/top-sites-of-the-week-that-will-definitely-inspire-you-dose-2415-a49c74e4cc84?source=tag_recommended_feed---------3-84----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,No summary available,Not Climate Action
64,The Top GIFs From the 2024 EE BAFTA Film Awards,https://medium.com/giphy/the-top-gifs-from-the-2024-ee-bafta-film-awards-bcbec5f15b66?source=tag_recommended_feed---------4-107----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,"Holy moly, Oppenhomies!",Not Climate Action
65,Design Innovation With 10 Webflow-Powered Websites To Inspire You,https://medium.com/orpetron/design-innovation-with-10-webflow-powered-websites-to-inspire-you-57fddd0ee14e?source=tag_recommended_feed---------5-85----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,No summary available,Not Climate Action
66,Cory Bauer selected as Top Civil Engineer of the Decade by IAOTP,https://medium.com/@Sarahmoradi/cory-bauer-selected-as-top-civil-engineer-of-the-decade-by-iaotp-59fae15a4e52?source=tag_recommended_feed---------6-84----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,Distributed by PressMonkey,Not Climate Action
67,Who Should Win at the 2024 Oscars?,https://medium.com/fan-fare/who-should-win-at-the-2024-oscars-fd275fe2766c?source=tag_recommended_feed---------7-107----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,The Oscars will be held on March 10 and ‘Oppenheimer’ is expected to sweep the major categories. But is it deserving?,Not Climate Action
68,Total Eclipse of my Life…Not!,https://medium.com/the-challenged/total-eclipse-of-my-life-not-0420df54dd56?source=tag_recommended_feed---------8-85----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,Don’t listen to the doomsayers,Not Climate Action
69,Outgrow Is a Winner in G2 Fall Awards 2023 | 98%+ Client Recommendations,https://medium.com/@outgrowco/outgrow-is-a-winner-in-g2-fall-awards-2023-98-client-recommendations-fc61cd14f562?source=tag_recommended_feed---------9-84----------awards----------f552a3d9_559d_4343_9378_9518544e4877-------,"Outgrow, our digital marketing and interactive content platform, won top honors in the G2 Fall awards 2023, and we couldn’t be happier!",Not Climate Action
70,Home Lab Setup with Hyper-V Part 3,https://medium.com/@alabbe/home-lab-setup-with-hyper-v-part-3-50ba6504d763?source=tag_recommended_feed---------0-84----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,Kali Setup,Not Climate Action
71,Remembering the Sinclair ZX81,https://medium.com/@autisticwidower/remembering-the-sinclair-zx81-e0405507eac5?source=tag_recommended_feed---------1-107----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,"Facts, opinions, and personal memories of what was nearly my first home computer",Not Climate Action
72,How To Activate Windows 10 Using Command Prompt (cmd),https://medium.com/wireless-bidet/how-to-activate-windows-10-using-command-prompt-9c5d248f3420?source=tag_recommended_feed---------2-85----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,"Three Easy Steps, which only take one minute.",Not Climate Action
73,Conscious AI,https://medium.com/@ttulka/conscious-ai-6e09ede24717?source=tag_recommended_feed---------3-84----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,"If artificial intelligence can think, it can also think about itself.",Not Climate Action
74,Remembering the IBM PC and Compatibles,https://medium.com/@autisticwidower/remembering-the-ibm-pc-and-compatibles-5ab93bcb8876?source=tag_recommended_feed---------4-107----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,Personal memories of using an IBM PC XT and Amstrad PC1640 in the 1980s,Not Climate Action
75,The Computer Programmers’ $150/hour Racket Is Over,https://medium.com/@maxrottersman/the-computer-programmers-150-hour-racket-is-over-9689fe140509?source=tag_recommended_feed---------5-85----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,Kids Will No Longer Leave High School or College Making More Than Their Parents,Not Climate Action
76,Why Computers in School? A Theory,https://medium.com/@frankbreslin41/why-computers-in-school-a-theory-3454d8cbcddf?source=tag_recommended_feed---------6-84----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,"Reading has always been viewed as a subversive activity by governments, which have always tried to control the public mind by banning…",Not Climate Action
77,The amazing M3 iMac — 1 month later,https://medium.com/macoclock/the-amazing-m3-imac-1-month-later-687ddd01249e?source=tag_recommended_feed---------7-107----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,"I happen to love it, but is it right for you?",Not Climate Action
78,Transfer Files To a USB Drive Via the Command Line,https://medium.com/@console.log_hello_uranus/transfer-files-to-a-usb-drive-via-the-command-line-24d257e9a303?source=tag_recommended_feed---------8-84----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,"Transferring files to and from a USB drive can be done through the command line or a graphical file manager, depending on what’s installed…",Not Climate Action
79,"Apple M3: If you build it, will they come?",https://medium.com/turn-on-press-play/apple-m3-if-you-build-it-will-they-come-92c9dd8a83ec?source=tag_recommended_feed---------9-107----------computers----------1c6bdc83_376c_4cb8_94dc_64e04784e18c-------,"The company would have people still on Intel hardware or early M1 adopters upgrade now, but it’s not that simple — here’s why",Not Climate Action
80,"Skip the Neighborhood Walk Score, What’s Your Dive Bar Walk Score?",https://medium.com/the-pub/skip-the-neighborhood-walk-score-whats-your-dive-bar-walk-score-3123f70c12f5?source=tag_recommended_feed---------0-84----------cocktails----------84676210_155d_4a69_88bd_bff97c9492f0-------,For those of us who don’t give a rat’s ass about the Post Office,Not Climate Action
81,Is ‘Dirty Lemon’ in Paris the World’s Chicest Queer Cocktail Bar?,https://medium.com/prismnpen/is-dirty-lemon-in-paris-the-world-s-chicest-queer-cocktail-bar-7ece027fc0a8?source=tag_recommended_feed---------1-107----------cocktails----------84676210_155d_4a69_88bd_bff97c9492f0-------,Step inside the new generation of sexy stylish queer space,Not Climate Action
82,"Cocktails or Mocktails, That is the Question",https://medium.com/the-challenged/cocktails-or-mocktails-that-is-the-question-40c9adecc0b8?source=tag_recommended_feed---------2-85----------cocktails----------84676210_155d_4a69_88bd_bff97c9492f0-------,An April Writing Prompt,Not Climate Action
83,Sensational Spring and Summer Cocktail Recipes and Cuisine Pairings at a Glance,https://medium.com/@leslieroyal1/sensational-spring-and-summer-cocktail-recipes-and-cuisine-pairings-at-a-glance-8bfc221717ca?source=tag_recommended_feed---------3-84----------cocktails----------84676210_155d_4a69_88bd_bff97c9492f0-------,"This seasonal wine and spirits list has tasting notes, wonderful ways to make innovative cocktails, and food pairings at your fingertips.",Not Climate Action
84,Can San Francisco handle another Prohibition-era bar?,https://medium.com/the-bold-italic/can-san-francisco-handle-another-prohibition-era-bar-ed1f1e3319a?source=tag_recommended_feed---------4-107----------cocktails----------84676210_155d_4a69_88bd_bff97c9492f0-------,"On the heels of Dawn Club comes The Harlequin, the latest in 1920s-esque cocktail lounges that have opened in SoMa in recent weeks.",Not Climate Action
